element,sp_num,obs_wl_vac(A),ritz_wl_vac(A),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,5,,133.604,,1.32E+08,C,82385.3,830867.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<1/2>).4p,3D,1,,T5633LS,,
O,5,,135.175,,3.69E+09,B,158797.7,898580.0,1s2.2s.2p,1P*,1,1s2.2p.(2P*<1/2>).5p,1P,1,,T5633,,
O,5,135.523,135.523,110,9.42E+09,B,0.0,737880.8,1s2.2s2,1S,0,1s2.2s.4p,1P*,1,,T5633,L552,
O,7,,135.820,,1.523E+11,AA,4629201.0,5365470.0,1s.2p,1P*,1,1s.3d,1D,2,,T5997,,
O,7,,137.510,,2.008E+10,AA,4629201.0,5356420.0,1s.2p,1P*,1,1s.3s,1S,0,,T5997,,
O,5,,138.025,,6.25E+09,B,81942.5,806446.4,1s2.2s.2p,3P*,0,1s2.2s.5d,3D,1,,T5633LS,,
O,5,,138.051,,4.69E+09,B,82078.6,806446.4,1s2.2s.2p,3P*,1,1s2.2s.5d,3D,1,,T5633LS,,
O,5,,138.051,,8.44E+09,B,82078.6,806448.4,1s2.2s.2p,3P*,1,1s2.2s.5d,3D,2,,T5633LS,,
O,5,138.109,138.109,80*,1.12E+10,B,82385.3,806451.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,3,,T5633LS,L552,
O,5,138.109,138.110,80*,2.81E+09,B,82385.3,806448.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,2,,T5633LS,L552,
O,5,138.109,138.110,80*,3.12E+08,C,82385.3,806446.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,1,,T5633LS,L552,
O,5,139.029,139.029,110,5.13E+09,B,0.0,719274.9,1s2.2s2,1S,0,1s2.2p.(2P*<3/2>).3d,1P*,1,,"T5633,T3843",L552,
O,5,,140.031,,3.66E+08,C,81942.5,796071.0,1s2.2s.2p,3P*,0,1s2.2s.5s,3S,1,,T5633LS,,
O,5,,140.058,,1.1E+09,C+,82078.6,796071.0,1s2.2s.2p,3P*,1,1s2.2s.5s,3S,1,,T5633LS,,
O,5,,140.118,,1.83E+09,C+,82385.3,796071.0,1s2.2s.2p,3P*,2,1s2.2s.5s,3S,1,,T5633LS,,
O,5,,142.122,,2.64E+09,B,158797.7,862419.0,1s2.2s.2p,1P*,1,1s2.2s.7d,1D,2,,T5633,,
O,5,,144.809,,1.08E+10,B,213618.2,904183.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).5d,3D*,2,,T5633LS,,
O,5,,144.809,,7.97E+09,B,213462.5,904027.0,1s2.2p2,3P,0,1s2.2p.(2P*<3/2>).5d,3D*,1,,T5633LS,,
O,5,,144.837,,1.43E+10,B,213887.0,904318.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).5d,3D*,3,,T5633LS,,
O,5,,144.842,,5.97E+09,B,213618.2,904027.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).5d,3D*,1,,T5633LS,,
O,5,,144.865,,3.58E+09,B,213887.0,904183.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).5d,3D*,2,,T5633LS,,
O,5,,144.898,,3.98E+08,C,213887.0,904027.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).5d,3D*,1,,T5633LS,,
O,5,,146.351,,4.01E+09,B,158797.7,842087.0,1s2.2s.2p,1P*,1,1s2.2s.6d,1D,2,,T5633,,
O,5,,147.263,,9.52E+09,B,158797.7,837855.0,1s2.2s.2p,1P*,1,1s2.2p.(2P*<3/2>).4p,1D,2,,T5633,,
O,5,,149.038,,4.76E+09,B,231721.4,902691.0,1s2.2p2,1D,2,1s2.2p.(2P*<1/2>).5d,1D*,2,,T5633,,
O,5,,149.076,,7.28E+09,B,158797.7,829597.0,1s2.2s.2p,1P*,1,1s2.2p.(2P*<1/2>).4p,1P,1,,T5633,,
O,6,,150.089,,2.62E+10,A,0.0,666269.8,1s2.2s,2S,1/2,1s2.3p,2P*,3/2,,T5118LS,,
O,6,,150.125,,2.62E+10,A,0.0,666113.2,1s2.2s,2S,1/2,1s2.3p,2P*,1/2,,T5118LS,,
O,5,151.447,151.447,80,1.26E+10,B,81942.5,742239.4,1s2.2s.2p,3P*,0,1s2.2s.4d,3D,1,,T5633LS,L552,
O,5,151.477,151.477,110*,1.7E+10,B,82078.6,742244.1,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,2,,T5633LS,L552,
O,5,151.477,151.478,110*,9.47E+09,B,82078.6,742239.4,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,1,,T5633LS,L552,
O,5,151.546,151.547,150*,2.27E+10,B,82385.3,742248.6,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,3,,T5633LS,L552,
O,5,151.546,151.548,150*,5.67E+09,B,82385.3,742244.1,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,2,,T5633LS,L552,
O,5,151.546,151.549,150*,6.3E+08,C+,82385.3,742239.4,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,1,,T5633LS,L552,
O,5,,153.952,,7.75E+09,B,158797.7,808352.3,1s2.2s.2p,1P*,1,1s2.2s.5d,1D,2,,T5633,,
O,5,,156.119,,3.65E+08,C,81942.5,722480.0,1s2.2s.2p,3P*,0,1s2.2s.4s,3S,1,,T5633LS,,
O,5,,156.152,,1.09E+09,C+,82078.6,722480.0,1s2.2s.2p,3P*,1,1s2.2s.4s,3S,1,,T5633LS,,
O,5,,156.227,,1.82E+09,B,82385.3,722480.0,1s2.2s.2p,3P*,2,1s2.2s.4s,3S,1,,T5633LS,,
O,5,,158.792,,4.67E+09,B,213462.5,843218.0,1s2.2p2,3P,0,1s2.2p.(2P*<3/2>).4d,3P*,1,,T5633LS,,
O,5,,158.818,,1.4E+10,B,213618.2,843270.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).4d,3P*,0,,T5633LS,,
O,5,,158.831,,3.5E+09,B,213618.2,843218.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).4d,3P*,1,,T5633LS,,
O,5,,158.858,,3.5E+09,B,213618.2,843111.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).4d,3P*,2,,T5633LS,,
O,5,,158.899,,5.83E+09,B,213887.0,843218.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).4d,3P*,1,,T5633LS,,
O,5,,158.926,,1.05E+10,B,213887.0,843111.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).4d,3P*,2,,T5633LS,,
O,5,,159.327,,1.66E+10,B,213462.5,841102.0,1s2.2p2,3P,0,1s2.2p.(2P*<3/2>).4d,3D*,1,,T5633LS,,
O,5,,159.343,,2.24E+10,B,213618.2,841195.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).4d,3D*,2,,T5633LS,,
O,5,,159.367,,1.25E+10,B,213618.2,841102.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).4d,3D*,1,,T5633LS,,
O,5,,159.380,,2.99E+10,B,213887.0,841318.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).4d,3D*,3,,T5633LS,,
O,5,,159.411,,7.46E+09,B,213887.0,841195.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).4d,3D*,2,,T5633LS,,
O,5,,159.435,,8.29E+08,C+,213887.0,841102.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).4d,3D*,1,,T5633LS,,
O,5,,160.062,,5.09E+08,C+,213618.2,838375.0,1s2.2p2,3P,1,1s2.2s.6p,3P*,2,,T5633LS,,
O,5,,160.131,,1.53E+09,B,213887.0,838375.0,1s2.2p2,3P,2,1s2.2s.6p,3P*,2,,T5633LS,,
O,5,,162.492,,2.62E+10,B,231721.4,847136.0,1s2.2p2,1D,2,1s2.2p.(2P*<3/2>).4d,1F*,3,,T5633,,
O,5,,164.177,,8.35E+09,B,231721.4,840821.5,1s2.2p2,1D,2,1s2.2s.6f,1F*,3,,T5633,,
