element,sp_num,obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,24,7.438,0.010,7.441,0.003,,5.4E+11,D,520757,13960500,1s2.2p,2P*,3/2,1s2.5d,2D,3/2,,T3354,L11369,
Fe,23,7.445,0.010,7.445,0.003,,1.5E+12,D,471780,13904000,1s2.2s.2p,3P*,2,1s2.2p.5p,3D,3,,T3348,L4776,
Fe,24,,,7.4601,0.0010,,,,520757,[13925450],1s2.2p,2P*,3/2,1s2.5s,2S,1/2,,,L11926,
Fe,23,7.472,0.010,7.472,0.003,,2.5E+12,D,0,13383000,1s2.2s2,1S,0,1s2.2s.5p,1P*,1,,T3348,L4776,
Fe,25,,,7.4833,0.0010,,,,[53527760],[66890900],1s.2s,3S,1,1s.4p,3P*,2,,,L11926,
Fe,25,,,7.4917,0.0010,,3.6E+12,B,[53527760],[66875900],1s.2s,3S,1,1s.4p,3P*,1,,T3221,,
Fe,25,,,7.6078,0.0010,,,,[53761280],[66905700],1s.2p,3P*,0,1s.4d,3D,1,,,L11926,
Fe,25,,,7.6172,0.0010,,,,[53777570],[66905700],1s.2p,3P*,1,1s.4d,3D,1,,,L11926,
Fe,25,,,7.6174,0.0010,,,,[53777570],[66905400],1s.2p,3P*,1,1s.4d,3D,2,,,L11926,
Fe,25,,,7.6183,0.0010,,3.4E+12,B,[53781230],[66907600],1s.2s,1S,0,1s.4p,1P*,1,,T3221,,
Fe,25,,,7.6515,0.0010,,3.5E+11,C,[53777570],[66846900],1s.2p,3P*,1,1s.4s,3S,1,,T3221,,
Fe,23,7.680,0.010,7.680,0.003,,2.5E+12,D,379125,13400000,1s2.2s.2p,3P*,1,1s2.2s.5d,3D,2,,T3348,L4776,
Fe,23,7.680,0.010,7.680,0.003,,1.8E+12,D,348180,13369000,1s2.2s.2p,3P*,0,1s2.2s.5d,3D,1,,T3348,L4776,
Fe,25,,,7.6837,0.0010,,,,[53896600],[66911100],1s.2p,3P*,2,1s.4d,3D,3,,,L11926,
Fe,25,,,7.6871,0.0010,,,,[53896600],[66905400],1s.2p,3P*,2,1s.4d,3D,2,,,L11926,
Fe,25,,,7.7218,0.0010,,,,[53896600],[66846900],1s.2p,3P*,2,1s.4s,3S,1,,,L11926,
Fe,23,7.733,0.010,7.733,0.003,,3E+12,D,471780,13404000,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,3,,T3348,L4776,
Fe,23,7.755,0.010,7.755,0.003,,,,1027200,13922000,1s2.2p2,3P,1,1s2.2p.5d,1D*,2,,,L4776,
Fe,25,,,7.7702,0.0010,,8E+12,C,[54042490],[66912100],1s.2p,1P*,1,1s.4d,1D,2,,T5298,L11926,
Fe,23,7.778,0.010,7.778,0.003,,2.5E+12,D,1071700,13929000,1s2.2p2,3P,2,1s2.2p.5d,3D*,3,,T3348,L4776,
Fe,25,,,7.7927,0.0010,,1E+12,C,[54042490],[66875000],1s.2p,1P*,1,1s.4s,1S,0,,T3221,,
Fe,23,7.826,0.010,7.826,0.003,,2.6E+12,D,1027200,13805000,1s2.2p2,3P,1,1s2.2p.5d,3D*,2,,T3348,L4776,
Fe,23,7.849,0.010,7.849,0.003,,4.9E+12,D,1204200,13945000,1s2.2p2,1D,2,1s2.2p.5d,1F*,3,,T3348,L4776,
Fe,23,7.854,0.010,7.854,0.003,,2.3E+12,D,1071700,13804000,1s2.2p2,3P,2,1s2.2p.5d,3F*,3,,T3348,L4776,
Fe,23,7.883,0.010,7.883,0.003,,2.8E+12,D,752410,13438000,1s2.2s.2p,1P*,1,1s2.2s.5d,1D,2,,T3348,L4776,
Fe,24,7.986,0.010,7.9841,0.0010,,3.43E+12,C+,0,12524900,1s2.2s,2S,1/2,1s2.4p,2P*,3/2,,T2093,L11369,
Fe,24,7.996,0.010,7.9943,0.0010,,3.4E+12,C+,0,12508900,1s2.2s,2S,1/2,1s2.4p,2P*,1/2,,T2093,L11369,
Fe,22,8.091,0.010,8.0913,0.0013,,,,0,12359000,2s2.2p,2P*,1/2,2s2.5d,2D,3/2,,,L6738,
Fe,24,8.232,0.010,8.2323,0.0015,,6.1E+12,C+,391983,12539200,1s2.2p,2P*,1/2,1s2.4d,2D,3/2,,T2093,L11369,
